STUDIENR,UDDANNELSE,KURSKODE,KURSTXT,BEDOMMELSE,SKALA,ECTS,UDPROVNING,CENSUR,BEDOMMELSESDATO
STNR005794,"Menneskeorienteret kunstig intelligens, cand.polyt.",42436-1,"42436 Kommercialisering af high-tech koncepter, iværksætteri og videnskab i aktion",10,7-trinsskala,5.0,Mundtlig,ekstern censur,2020-01-14
STNR005795,"Menneskeorienteret kunstig intelligens, cand.polyt.",2180,02180 Introduktion til kunstig intelligens,10,7-trinsskala,5.0,Skriftlig,ekstern censur,2018-06-19
STNR005795,"Menneskeorienteret kunstig intelligens, cand.polyt.",2233,02233 Netværkssikkerhed,12,7-trinsskala,5.0,Skriftlig,intern censur,2018-06-26
STNR005795,"Menneskeorienteret kunstig intelligens, cand.polyt.",2285,02285 Kunstig intelligens og multiagent-systemer,4,7-trinsskala,7.5,Skriftlig,intern censur,2018-07-03
STNR005795,"Menneskeorienteret kunstig intelligens, cand.polyt.",2805,02805 Sociale grafer og interaktioner,10,7-trinsskala,10.0,Skriftlig,intern censur,2018-01-05
STNR005795,"Menneskeorienteret kunstig intelligens, cand.polyt.",2807,02807 Beregningsmæssige værktøjer til datavidenskab,7,7-trinsskala,5.0,Afløsningsopgave,intern censur,2018-01-11
STNR005795,"Menneskeorienteret kunstig intelligens, cand.polyt.",2808,02808 Personal data interaction,12,7-trinsskala,10.0,Afløsningsopgave,ekstern censur,2018-06-07
STNR005795,"Menneskeorienteret kunstig intelligens, cand.polyt.",2809,02809 UX design prototypeudvikling,7,7-trinsskala,5.0,Afløsningsopgave,ekstern censur,2018-01-15
STNR005795,"Menneskeorienteret kunstig intelligens, cand.polyt.",2840,02840 Grundlæggende computerspilprogrammering (DADIU),10,7-trinsskala,15.0,Skriftlig,intern censur,2019-01-28
STNR005795,"Menneskeorienteret kunstig intelligens, cand.polyt.",2841,02841 Computerspilprogrammering i en produktion (DADIU),10,7-trinsskala,15.0,Skriftlig,intern censur,2019-01-28
STNR005795,"Menneskeorienteret kunstig intelligens, cand.polyt.",42575,42575 Teknologi og innovationsledelse,10,7-trinsskala,5.0,Afløsningsopgave,intern censur,2018-01-25
STNR005795,"Menneskeorienteret kunstig intelligens, cand.polyt.",42436-1,"42436 Kommercialisering af high-tech koncepter, iværksætteri og videnskab i aktion",7,7-trinsskala,5.0,Mundtlig,ekstern censur,2017-12-22
STNR005795,"Menneskeorienteret kunstig intelligens, cand.polyt.",E01-32,Institut for Matematik og Computer Science,12,7-trinsskala,32.5,Projekt,ekstern censur,2019-07-04
